Repair Level,A,B,C,Random,Constant
0.0,0.9995,0.9995,0.9995,0.9995,0.9995
0.1,0.9825,0.9825,0.999,0.998,0.997
0.2,0.9815,0.982,0.994,0.9965,0.9925
0.30000000000000004,0.979,0.9725,0.9955,0.9915,0.9935
0.4,0.9735,0.9685,0.9895,0.987,0.9925
0.5,0.9655,0.9445,0.9845,0.9845,0.9865
0.6,0.956,0.947,0.978,0.9845,0.989
0.7,0.953,0.947,0.9565,0.9755,0.945
0.7999999999999999,0.923,0.905,0.92,0.9575,0.9885
0.8999999999999999,0.729,0.764,0.8245,0.904,0.9365
0.9999999999999999,0.4975,0.513,0.523,0.4975,0.4975
