Repair Level,A,B,C,Random,Constant
0.0,0.9995,0.9995,0.9995,0.9995,0.9995
0.1,0.956,0.9995,0.9995,0.998,0.9975
0.2,0.9365,0.9995,0.9975,0.9965,0.9955
0.30000000000000004,0.897,0.9935,0.989,0.9945,0.9925
0.4,0.861,0.9855,0.9815,0.9915,0.989
0.5,0.8255,0.978,0.974,0.9875,0.9835
0.6,0.773,0.9695,0.9625,0.982,0.976
0.7,0.727,0.9465,0.9385,0.972,0.9625
0.7999999999999999,0.663,0.906,0.8935,0.9525,0.9365
0.8999999999999999,0.596,0.7815,0.762,0.894,0.8575
0.9999999999999999,0.5025,0.5265,0.5255,0.5025,0.5025
