A,admit,B,C,Random
1698.0,False,5498.0,-3128.0,0.18469030586490842
1698.0,True,5326.0,-3047.0,-0.8391996673390064
1698.0,True,6020.0,-3387.0,-0.6628909175509482
1698.0,True,5414.0,-3089.0,0.2790938583451852
1698.0,True,5390.0,-3080.0,-1.2968219479558465
1698.0,True,5706.0,-3240.0,-1.2094669354188052
1698.0,False,5906.0,-3334.0,0.15809922532318443
1698.0,False,5386.0,-3077.0,0.6791527754381954
1698.0,True,6020.0,-3387.0,-0.5177474472222198
1698.0,True,5530.0,-3145.0,0.5042978533842724
1698.0,True,5328.0,-3048.0,-0.23039071420576732
1698.0,False,5850.0,-3307.0,-1.4575414994649305
1698.0,False,5936.0,-3354.0,-0.07721104522304557
1698.0,True,6022.0,-3392.0,-0.08086849786546131
1698.0,True,5404.0,-3086.0,-0.35367575956700603
1698.0,False,5636.0,-3199.0,-0.17908328501615625
1698.0,False,5748.0,-3257.0,-0.15851957302697
1698.0,True,5694.0,-3233.0,0.39815726512253713
1698.0,True,5968.0,-3368.0,-0.8391996673390064
1698.0,True,5710.0,-3244.0,1.0075236898369222
1698.0,True,5892.0,-3330.0,-0.38501181171286364
1698.0,True,5348.0,-3058.0,0.40499171096095554
1698.0,False,5742.0,-3254.0,-0.8181888834223072
1698.0,False,5612.0,-3185.0,0.2043990316029768
1698.0,False,5904.0,-3333.0,0.7579318499236195
1698.0,False,5502.0,-3131.0,-1.0299622747769357
1698.0,False,5792.0,-3276.0,2.8243405910030464
1698.0,True,5554.0,-3156.0,1.1210406673244715
1698.0,False,5588.0,-3169.0,-1.0962650868952017
1698.0,True,5500.0,-3129.0,-1.8927521775900518
1698.0,False,5570.0,-3164.0,-0.3652309774898465
1698.0,False,5762.0,-3265.0,-0.6690627386599166
1698.0,True,5420.0,-3093.0,1.0375499442578993
1698.0,True,5742.0,-3254.0,-1.007901695428206
1698.0,True,5936.0,-3354.0,0.07716649621771673
1698.0,False,5488.0,-3125.0,-2.172659546014036
1698.0,True,5448.0,-3109.0,-0.6129732712706896
1698.0,False,5576.0,-3166.0,-0.21803589539237384
1698.0,True,5394.0,-3082.0,-1.5678494253654558
1698.0,False,5834.0,-3296.0,-1.5678494253654558
1698.0,True,5860.0,-3315.0,0.30735561670797007
1698.0,False,5622.0,-3190.0,0.34981002456790755
1698.0,False,5850.0,-3307.0,0.07716649621771673
1698.0,True,5940.0,-3357.0,-0.10342122429028393
1698.0,False,5374.0,-3071.0,0.26427827164563655
1698.0,True,5438.0,-3105.0,0.050237699165680445
1698.0,False,5552.0,-3154.0,-0.38501181171286364
1698.0,False,5610.0,-3184.0,-1.6380190574360167
1698.0,False,5674.0,-3220.0,-0.6451097546051243
1698.0,False,5992.0,-3376.0,-1.3650117954266352
1698.0,True,5772.0,-3269.0,-1.2239302667622565
1698.0,False,5506.0,-3134.0,-0.6515903476058171
1698.0,False,5872.0,-3319.0,1.5499444050175395
1698.0,True,5916.0,-3342.0,-0.1469920016284886
1698.0,True,5794.0,-3277.0,-0.4516494761596227
1698.0,False,5328.0,-3048.0,-0.7020430938773524
1698.0,True,5936.0,-3354.0,1.8314687658543538
1698.0,True,5846.0,-3302.0,0.5798672852951321
1698.0,False,5712.0,-3245.0,0.8178996580250286
1698.0,True,5320.0,-3041.0,0.957942055215684
1698.0,False,5942.0,-3358.0,0.050237699165680445
1698.0,True,5344.0,-3053.0,0.8926073382993092
1698.0,True,5912.0,-3338.0,1.5499444050175395
1698.0,True,5868.0,-3318.0,-0.34405395670422656
1698.0,True,5746.0,-3255.0,0.18469030586490842
1698.0,True,5392.0,-3081.0,1.197256923645228
1698.0,False,5348.0,-3058.0,0.5320161988219431
1698.0,True,5994.0,-3377.0,0.5999387299962045
1698.0,True,6008.0,-3380.0,1.7586304841951335
1698.0,False,5700.0,-3235.0,-0.07721104522304557
1698.0,True,5974.0,-3370.0,-1.3118262323501595
1698.0,False,5448.0,-3109.0,-0.716812320602805
1698.0,False,5306.0,-3034.0,-1.0299622747769357
1698.0,True,5914.0,-3341.0,0.050237699165680445
1698.0,True,5888.0,-3328.0,0.14099269961206
1698.0,False,5506.0,-3134.0,-0.9295008601924101
1698.0,True,5868.0,-3318.0,1.987285999230808
1698.0,True,5924.0,-3347.0,0.3853273797288368
1698.0,True,6020.0,-3387.0,-0.03581557870646293
1698.0,True,5292.0,-3029.0,-0.11121606134870032
1698.0,True,5858.0,-3312.0,0.8071325966373103
1698.0,False,5718.0,-3248.0,0.37570801834567197
1698.0,False,5876.0,-3321.0,-1.6380190574360167
1698.0,True,5512.0,-3135.0,0.9282556913443245
1698.0,False,5518.0,-3138.0,-0.917966104610736
1698.0,False,5438.0,-3105.0,-0.607558791779556
1698.0,False,5328.0,-3048.0,-0.6881403451777238
1698.0,True,5932.0,-3353.0,-0.34405395670422656
1698.0,True,5520.0,-3140.0,-1.103198365721683
1698.0,False,5354.0,-3064.0,0.3496600472996937
1698.0,False,5364.0,-3067.0,-0.8516521743343933
1698.0,True,5668.0,-3214.0,0.15809922532318443
1698.0,True,5620.0,-3189.0,0.12862745040496654
1698.0,False,5396.0,-3083.0,1.06015381867127
1698.0,False,5652.0,-3204.0,0.3496600472996937
1698.0,True,5904.0,-3333.0,1.6296521311127987
1698.0,False,5578.0,-3167.0,0.12862745040496654
1698.0,True,5690.0,-3232.0,-0.9049378329380663
1698.0,True,5554.0,-3156.0,-0.9824773935383097
1698.0,True,5340.0,-3051.0,0.6544410271056211
1698.0,False,5578.0,-3167.0,-0.45783838618248923
1698.0,False,5420.0,-3093.0,0.015628333949603047
1698.0,True,5512.0,-3135.0,0.041297455587439386
1698.0,False,5528.0,-3144.0,-0.06099397185538355
1698.0,True,5812.0,-3284.0,0.07269052432934134
1698.0,False,6010.0,-3382.0,-1.1035793172157708
1698.0,False,5512.0,-3135.0,-1.7101583926566255
1698.0,True,5802.0,-3281.0,-0.4555295260238707
1698.0,False,5924.0,-3347.0,-0.32666324750904396
1698.0,True,5502.0,-3131.0,1.186744620177331
