A,admit,B,C,Random
2749.0,False,3396.0,-3128.0,0.18469030586490842
2663.0,True,3396.0,-3047.0,-0.8391996673390064
3010.0,True,3396.0,-3387.0,-0.6628909175509482
2707.0,True,3396.0,-3089.0,0.2790938583451852
2695.0,True,3396.0,-3080.0,-1.2968219479558465
2853.0,True,3396.0,-3240.0,-1.2094669354188052
2953.0,False,3396.0,-3334.0,0.15809922532318443
2693.0,False,3396.0,-3077.0,0.6791527754381954
3010.0,True,3396.0,-3387.0,-0.5177474472222198
2765.0,True,3396.0,-3145.0,0.5042978533842724
2664.0,True,3396.0,-3048.0,-0.23039071420576732
2925.0,False,3396.0,-3307.0,-1.4575414994649305
2968.0,False,3396.0,-3354.0,-0.07721104522304557
3011.0,True,3396.0,-3392.0,-0.08086849786546131
2702.0,True,3396.0,-3086.0,-0.35367575956700603
2818.0,False,3396.0,-3199.0,-0.17908328501615625
2874.0,False,3396.0,-3257.0,-0.15851957302697
2847.0,True,3396.0,-3233.0,0.39815726512253713
2984.0,True,3396.0,-3368.0,-0.8391996673390064
2855.0,True,3396.0,-3244.0,1.0075236898369222
2946.0,True,3396.0,-3330.0,-0.38501181171286364
2674.0,True,3396.0,-3058.0,0.40499171096095554
2871.0,False,3396.0,-3254.0,-0.8181888834223072
2806.0,False,3396.0,-3185.0,0.2043990316029768
2952.0,False,3396.0,-3333.0,0.7579318499236195
2751.0,False,3396.0,-3131.0,-1.0299622747769357
2896.0,False,3396.0,-3276.0,2.8243405910030464
2777.0,True,3396.0,-3156.0,1.1210406673244715
2794.0,False,3396.0,-3169.0,-1.0962650868952017
2750.0,True,3396.0,-3129.0,-1.8927521775900518
2785.0,False,3396.0,-3164.0,-0.3652309774898465
2881.0,False,3396.0,-3265.0,-0.6690627386599166
2710.0,True,3396.0,-3093.0,1.0375499442578993
2871.0,True,3396.0,-3254.0,-1.007901695428206
2968.0,True,3396.0,-3354.0,0.07716649621771673
2744.0,False,3396.0,-3125.0,-2.172659546014036
2724.0,True,3396.0,-3109.0,-0.6129732712706896
2788.0,False,3396.0,-3166.0,-0.21803589539237384
2697.0,True,3396.0,-3082.0,-1.5678494253654558
