Repair Level,A,B,C,Random,Constant
0.0,0.9985,0.9985,0.9985,0.9985,0.9985
0.1,0.9825,0.98,0.971,0.9985,0.9985
0.2,0.9795,0.9725,0.952,0.998,0.999
0.30000000000000004,0.97,0.965,0.9165,0.998,0.9975
0.4,0.951,0.946,0.874,0.9975,0.9965
0.5,0.9305,0.929,0.8265,0.997,0.997
0.6,0.9015,0.897,0.781,0.997,0.997
0.7,0.8525,0.831,0.7275,0.9965,0.992
0.7999999999999999,0.729,0.737,0.6595,0.995,0.985
0.8999999999999999,0.5965,0.5905,0.59,0.9915,0.9635
0.9999999999999999,0.5025,0.5025,0.5025,0.4975,0.5025
