Repair Level,A,B,C,Random,Constant
0.0,0.9945,0.9945,0.9945,0.9945,0.9945
0.1,0.98,0.98,0.9735,0.9935,0.9955
0.2,0.9785,0.9755,0.974,0.9955,0.993
0.30000000000000004,0.974,0.9765,0.9625,0.9925,0.9945
0.4,0.966,0.967,0.952,0.987,0.9915
0.5,0.9565,0.9465,0.949,0.9845,0.99
0.6,0.945,0.9505,0.937,0.9815,0.9885
0.7,0.935,0.9415,0.8925,0.9725,0.984
0.7999999999999999,0.9045,0.902,0.814,0.9515,0.9715
0.8999999999999999,0.8085,0.808,0.615,0.888,0.939
0.9999999999999999,0.5015,0.5015,0.496,0.4975,0.4975
