Repair Level,A,B,C,Random,Constant
0.0,0.9945,0.9945,0.9945,0.9945,0.9945
0.1,0.983,0.984,0.9745,0.993,0.995
0.2,0.976,0.977,0.957,0.9935,0.9945
0.30000000000000004,0.9635,0.9625,0.9365,0.992,0.991
0.4,0.9545,0.957,0.901,0.992,0.9865
0.5,0.9245,0.927,0.8435,0.988,0.986
0.6,0.894,0.884,0.774,0.986,0.9815
0.7,0.8225,0.8265,0.717,0.9815,0.972
0.7999999999999999,0.7095,0.7055,0.6555,0.975,0.953
0.8999999999999999,0.5845,0.5915,0.589,0.953,0.8945
0.9999999999999999,0.5025,0.5025,0.5025,0.5025,0.5025
