A,admit,B,C,Random
2663.0,False,1888.0,-3043.0,-0.18329070952619728
2664.0,False,1888.0,-3046.0,0.6833389928110694
2664.0,False,1888.0,-3046.0,-0.2737192521667607
2670.0,False,1888.0,-3047.0,-0.257610485510994
2671.0,False,1888.0,-3050.0,0.7674447291529087
2672.0,False,1888.0,-3053.0,-0.4713057211511179
2672.0,False,1888.0,-3053.0,0.5752150161065662
2676.0,False,1888.0,-3056.0,-0.4667488119514405
2678.0,False,1888.0,-3057.0,0.2431017276606988
2679.0,False,1888.0,-3059.0,-1.92766257934561
2679.0,False,1888.0,-3059.0,-1.1793591216326171
2681.0,False,1888.0,-3063.0,0.3142573325952739
2682.0,False,1888.0,-3064.0,-1.0447991940210335
2683.0,False,1888.0,-3067.0,-1.5326905598899307
2686.0,False,1888.0,-3069.0,-0.2569351251217815
2686.0,False,1888.0,-3069.0,0.025220867540082115
2688.0,False,1888.0,-3071.0,-0.5601710401969696
2689.0,False,1888.0,-3076.0,0.0859030062933304
2691.0,False,1888.0,-3077.0,-0.6197621282538777
2691.0,False,1888.0,-3077.0,-0.294445757588034
2694.0,False,1888.0,-3079.0,-0.6245004550885774
2696.0,False,1888.0,-3081.0,-0.03454062395396351
2697.0,False,1888.0,-3082.0,-1.1939150063990553
2697.0,False,1888.0,-3082.0,0.8396738644311887
2699.0,False,1888.0,-3083.0,-1.3631640045928104
2700.0,False,1888.0,-3085.0,0.2088735950047554
2701.0,False,1888.0,-3086.0,-2.120690152635066
2701.0,False,1888.0,-3086.0,0.19687123586912353
2704.0,False,1888.0,-3087.0,0.7384765799954104
2705.0,False,1888.0,-3090.0,0.15373510594552792
2707.0,False,1888.0,-3091.0,-0.3187383152461331
2707.0,False,1888.0,-3091.0,-1.7038615868267188
2709.0,False,1888.0,-3092.0,-0.4597546158304763
2711.0,False,1888.0,-3094.0,1.1969209487613524
2712.0,False,1888.0,-3095.0,0.3436282895684614
2716.0,False,1888.0,-3096.0,-2.0074468607450098
2716.0,False,1888.0,-3096.0,0.3243502100148682
2718.0,False,1888.0,-3098.0,-0.3971853161459876
2719.0,False,1888.0,-3099.0,-0.6769120003059588
2721.0,False,1888.0,-3100.0,1.0386160692088167
2721.0,False,1888.0,-3100.0,-0.9399578291500665
2722.0,False,1888.0,-3102.0,-0.4828998394605177
2723.0,False,1888.0,-3103.0,-1.2503977339697174
2724.0,False,1888.0,-3106.0,-1.2931315437586477
2724.0,False,1888.0,-3106.0,0.8089292693927194
2729.0,False,1888.0,-3107.0,-0.07937842440570288
2730.0,False,1888.0,-3109.0,1.1282497832688376
