A,admit,B,C,Random
2580.0,False,5160.0,-3146.0,-0.12516442838316422
2584.0,False,5168.0,-3146.0,0.6989296850807888
2587.0,False,5174.0,-3146.0,-0.23414337472333596
2588.0,False,5176.0,-3146.0,-0.2205282291565374
2589.0,False,5178.0,-3146.0,0.811406554491592
2591.0,False,5182.0,-3146.0,-0.463151362085399
2594.0,False,5188.0,-3146.0,0.6590643439134196
2596.0,False,5192.0,-3146.0,-0.45908031021899176
2598.0,False,5196.0,-3146.0,0.2544308433012131
2600.0,False,5200.0,-3146.0,-1.7690659048891182
2601.0,False,5202.0,-3146.0,-0.9899477925520139
2603.0,False,5206.0,-3146.0,0.38898872935218376
2605.0,False,5210.0,-3146.0,-0.8744256483399182
2606.0,False,5212.0,-3146.0,-1.3793092280145272
2607.0,False,5214.0,-3146.0,-0.20527401949625124
2610.0,False,5220.0,-3146.0,0.024520174258942713
2612.0,False,5224.0,-3146.0,-0.5574130531083212
2613.0,False,5226.0,-3146.0,0.11093258970986608
2615.0,False,5230.0,-3146.0,-0.600628689918805
2616.0,False,5232.0,-3146.0,-0.26887869055483055
2618.0,False,5236.0,-3146.0,-0.6039751867158206
2621.0,False,5242.0,-3146.0,-0.013487224737933921
2622.0,False,5244.0,-3146.0,-1.0577009289559003
2623.0,False,5246.0,-3146.0,0.8986791603391742
2627.0,False,5254.0,-3146.0,-1.2208336499710222
2628.0,False,5256.0,-3146.0,0.21398991073422202
2630.0,False,5260.0,-3146.0,-2.0038523644067534
2632.0,False,5264.0,-3146.0,0.2034736358672231
2633.0,False,5266.0,-3146.0,0.7938284671438156
2634.0,False,5268.0,-3146.0,0.1458464702153839
2637.0,False,5274.0,-3146.0,-0.3010936955892888
2638.0,False,5276.0,-3146.0,-1.5047103740310022
2639.0,False,5278.0,-3146.0,-0.40979124379353304
2640.0,False,5280.0,-3146.0,1.2543483607573396
2644.0,False,5288.0,-3146.0,0.4253313083301104
2645.0,False,5290.0,-3146.0,-1.776001754048402
2646.0,False,5292.0,-3146.0,0.41056008532761656
2650.0,False,5300.0,-3146.0,-0.3664970203680518
2653.0,False,5306.0,-3146.0,-0.6389517476895022
2655.0,False,5310.0,-3146.0,1.1009696349985711
2657.0,False,5314.0,-3146.0,-0.8058600664961888
2659.0,False,5318.0,-3146.0,-0.47916423784528994
2660.0,False,5320.0,-3146.0,-1.0909564302151982
2662.0,False,5324.0,-3146.0,-1.1701030260593595
2663.0,False,5326.0,-3146.0,0.849112110743144
2664.0,False,5328.0,-3146.0,-0.055574670910455065
2670.0,False,5340.0,-3146.0,1.1809999053056721
2671.0,False,5342.0,-3146.0,0.4512353193185082
